"Tuesday, August 30",General Election,PPP (D),Clinton 42 Trump 37,Clinton +5
"Tuesday, August 30",General Election,NBC News/SM,Clinton 41 Trump 37,Clinton +4
"Tuesday, August 30",Pennsylvania,Monmouth,Clinton 48 Trump 40,Clinton +8
"Wednesday, August 31",General Election,FOX News,Clinton 41 Trump 39,Clinton +2
"Wednesday, August 31",General Election,FOX News,Clinton 48 Trump 42,Clinton +6
"Wednesday, August 31",General Election,Reuters/Ipsos,Clinton 40 Trump 38,Clinton +2
"Wednesday, August 31",General Election,Reuters/Ipsos,Clinton 40 Trump 39,Clinton +1
"Wednesday, August 31",General Election,Economist/YouGov,Clinton 42 Trump 37,Clinton +5
"Wednesday, August 31",General Election,Economist/YouGov,Clinton 47 Trump 42,Clinton +5
"Wednesday, August 31",Wisconsin,Marquette,Clinton 41 Trump 38,Clinton +3
"Wednesday, August 31",Wisconsin,Marquette,Clinton 45 Trump 42,Clinton +3
"Wednesday, August 31",Wisconsin,Monmouth,Clinton 43 Trump 38,Clinton +5
"Wednesday, August 31",North Carolina,Emerson,Clinton 43 Trump 45,Trump +2
"Wednesday, August 31",New York,Emerson,Clinton 52 Trump 34,Clinton +18
"Wednesday, August 31",Arizona,Gravis,Clinton 40 Trump 44,Trump +4
"Thursday, September 01",General Election,USA Today/Suffolk,Clinton 42 Trump 35,Clinton +7
"Thursday, September 01",General Election,USA Today/Suffolk,Clinton 48 Trump 41,Clinton +7
"Thursday, September 01",General Election,Rasmussen Reports,Clinton 39 Trump 40,Trump +1
"Thursday, September 01",Virginia,Hampton University,Clinton 43 Trump 41,Clinton +2
"Thursday, September 01",Pennsylvania,Franklin & Marshall,Clinton 45 Trump 40,Clinton +5
"Thursday, September 01",Pennsylvania,Franklin & Marshall,Clinton 47 Trump 40,Clinton +7
"Thursday, September 01",West Virginia,MetroNews,Clinton 31 Trump 49,Trump +18
"Friday, September 02",General Election,IBD/TIPP,Clinton 39 Trump 39,Tie
"Friday, September 02",General Election,IBD/TIPP,Clinton 44 Trump 43,Clinton +1
"Friday, September 02",Iowa,Emerson,Clinton 39 Trump 44,Trump +5
"Friday, September 02",Virginia,Emerson,Clinton 44 Trump 43,Clinton +1
"Friday, September 02",New Hampshire,WMUR/UNH,Clinton 43 Trump 32,Clinton +11
"Friday, September 02",New Hampshire,WMUR/UNH,Clinton 45 Trump 36,Clinton +9
"Sunday, September 04",Pennsylvania,CBS News/YouGov,Clinton 45 Trump 37,Clinton +8
"Sunday, September 04",North Carolina,CBS News/YouGov,Clinton 46 Trump 42,Clinton +4
"Tuesday, September 06",General Election,CNN/ORC,Clinton 43 Trump 45,Trump +2
"Tuesday, September 06",General Election,CNN/ORC,Clinton 48 Trump 49,Trump +1
"Tuesday, September 06",General Election,NBC News/SM,Clinton 41 Trump 37,Clinton +4
"Tuesday, September 06",General Election,NBC News/SM,Clinton 48 Trump 42,Clinton +6
"Tuesday, September 06",Missouri,Remington Research (R),Clinton 38 Trump 47,Trump +9
"Tuesday, September 06",Maryland,OpinionWorks,Clinton 54 Trump 25,Clinton +29
"Tuesday, September 06",Idaho,Idaho Politics/Dan Jones,Clinton 23 Trump 44,Trump +21
"Wednesday, September 07",General Election,GWU/Battleground,Clinton 42 Trump 40,Clinton +2
"Wednesday, September 07",General Election,Economist/YouGov,Clinton 40 Trump 38,Clinton +2
"Wednesday, September 07",General Election,Reuters/Ipsos,Clinton 40 Trump 38,Clinton +2
"Wednesday, September 07",General Election,Economist/YouGov,Clinton 44 Trump 42,Clinton +2
"Wednesday, September 07",General Election,Reuters/Ipsos,Clinton 40 Trump 38,Clinton +2
"Wednesday, September 07",Florida,PPP (D),Clinton 43 Trump 44,Trump +1
"Wednesday, September 07",Florida,PPP (D),Clinton 47 Trump 46,Clinton +1
"Wednesday, September 07",New Hampshire,Emerson,Clinton 42 Trump 37,Clinton +5
"Wednesday, September 07",Maine,Emerson,Clinton 44 Trump 35,Clinton +9
"Wednesday, September 07",Maine,Emerson,Clinton 36 Trump 41,Trump +5
"Wednesday, September 07",Maine,Emerson,Clinton 52 Trump 30,Clinton +22
"Wednesday, September 07",Vermont,Emerson,Clinton 47 Trump 26,Clinton +21
